City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Suphan Buri,TH,87.98,broken clouds,14.4742,100.1222,Vasidtee City Hotel
441,Campoverde,PE,80.29,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
443,Banda Aceh,ID,81.05,overcast clouds,5.5577,95.3222,Sulthan Hotel International
444,Iralaya,HN,77.04,overcast clouds,15.0,-83.2333,Iglesia morava renovada
452,Namatanai,PG,84.7,light rain,-3.6667,152.4333,Seagulls Inn Namatani
454,Zhuhai,CN,86.86,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
458,Palu,ID,86.22,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
460,Katherine,AU,89.92,overcast clouds,-14.4667,132.2667,Pine Tree Motel
463,Amuntai,ID,87.58,overcast clouds,-2.4177,115.2494,Hotel Balqis
464,Honiara,SB,87.55,clear sky,-9.4333,159.95,Heritage Park Hotel
466,Bubaque,GW,83.82,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
468,Terra Santa,BR,75.69,overcast clouds,-2.1042,-56.4869,Hotel Sarah
475,Cam Ranh,VN,82.36,moderate rain,11.9214,109.1591,OYO 598 Peony Hotel
487,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
488,Bongaree,AU,81.54,scattered clouds,-27.0797,153.1586,The Gums Anchorage
494,Sabang,ID,79.48,moderate rain,5.8933,95.3214,Hotel Citra
495,Kouroussa,GN,76.3,scattered clouds,10.65,-9.8833,Hotel Paillote
496,Padang,ID,80.65,light rain,-0.9492,100.3543,Mercure Padang
498,Kiama,AU,80.08,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
505,Pasni,PK,76.66,clear sky,25.2631,63.471,Kashmiri Hotal
508,Placido De Castro,BR,77.32,broken clouds,-10.3353,-67.1856,Hotel Carioca
513,Pyapon,MM,82.56,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
515,Axim,GH,77.95,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
522,Galle,LK,79.0,overcast clouds,6.0367,80.217,Amangalla
523,Nanakuli,US,84.15,clear sky,21.3906,-158.1547,Camp Pālehua
533,Muscat,OM,80.62,clear sky,23.6139,58.5922,Mutrah Hotel
542,Veraval,IN,79.59,broken clouds,20.9,70.3667,Lords Inn Somnath
563,Flinders,AU,79.88,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
564,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
565,Wanlaweyn,SO,75.61,clear sky,2.6185,44.8938,GAASHAAN HOME
566,Bandarbeyla,SO,75.24,few clouds,9.4942,50.8122,JABIR HOTEL
568,Talugtug,PH,88.99,few clouds,15.7778,120.8111,Neil Michael Cabigao
573,Labuhan,ID,89.4,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
575,Kralendijk,BQ,82.38,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
577,Ranong,TH,87.73,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
581,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
584,Jaisalmer,IN,78.46,clear sky,26.9147,70.9181,Hotel Fifu
588,Maunabo,PR,80.44,scattered clouds,18.0072,-65.8993,Maunacaribe
590,Port Macquarie,AU,80.56,light rain,-31.4333,152.9167,Rydges Port Macquarie
596,Tumaco,CO,76.71,light rain,1.7986,-78.8156,Dafneruben
597,Pedernales,DO,79.3,clear sky,18.0384,-71.744,Hotel Costa Marina
606,Lumphat,KH,84.51,overcast clouds,13.4878,106.9816,Lumphat Homestay
613,Roebourne,AU,87.73,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
615,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
616,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
617,Ulladulla,AU,82.76,moderate rain,-35.35,150.4667,Sandpiper Motel
620,Prachuap Khiri Khan,TH,82.71,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
630,San Carlos,VE,76.66,broken clouds,9.6612,-68.5827,Hotel Paternopoli
631,Aquiraz,BR,81.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
637,Payakumbuh,ID,76.69,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
642,Uribia,CO,81.64,broken clouds,11.7139,-72.266,Hotel Uribia
646,Buala,SB,85.95,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
654,Alugan,PH,82.02,overcast clouds,12.2188,125.4808,JM Lodge
656,Gizo,SB,84.27,light rain,-8.103,156.8419,Imagination Island
658,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
660,Bintulu,MY,82.81,light rain,3.1667,113.0333,900 Boutique INN
682,Bac Lieu,VN,85.69,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
689,Cockburn Town,TC,82.99,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
691,Bosaso,SO,76.73,scattered clouds,11.2842,49.1816,Red Sea Hotel
697,Vintar,PH,89.35,few clouds,18.2284,120.6475,VYBE Hotel
700,Borbon,PH,85.89,overcast clouds,10.838,124.0297,Pepe Catubig Res
702,Tubuala,PA,79.34,overcast clouds,9.5167,-79.0333,Río Nabagana
703,Bobo Dioulasso,BF,79.25,clear sky,11.1771,-4.2979,RAN Hotel Somketa
708,Basco,PH,81.91,clear sky,20.4487,121.9702,Nathaniel's Lodge
