City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Arraial Do Cabo,BR,2021-11-06 13:48:39,-22.9661,-42.0278,76.96,64,40,5.75
121,Guiyang,CN,2021-11-06 13:48:40,26.5833,106.7167,61.29,88,90,11.18
122,Ostrovnoy,RU,2021-11-06 13:48:40,68.0531,39.5131,35.01,99,100,2.91
123,Bunia,CD,2021-11-06 13:48:40,1.5667,30.25,76.87,61,46,8.81
124,Chokurdakh,RU,2021-11-06 13:48:41,70.6333,147.9167,9.48,95,100,6.51
125,Cidreira,BR,2021-11-06 13:48:41,-30.1811,-50.2056,71.06,80,99,7.87
126,Axim,GH,2021-11-06 13:48:42,4.8699,-2.2405,82.98,75,100,7.16
127,Cabo San Lucas,MX,2021-11-06 13:48:42,22.8909,-109.9124,74.52,71,20,0.0
128,Lhokseumawe,ID,2021-11-06 13:48:42,5.1801,97.1507,79.3,87,99,6.82
129,Chuy,UY,2021-11-06 13:48:43,-33.6971,-53.4616,66.29,55,99,14.27
130,Mogadishu,SO,2021-11-06 13:48:21,2.0371,45.3438,84.07,89,20,13.8
131,Uvira,CD,2021-11-06 13:48:43,-3.4067,29.1458,82.45,58,72,5.53
132,Praia Da Vitoria,PT,2021-11-06 13:48:43,38.7333,-27.0667,73.65,78,20,21.77
133,Piet Retief,ZA,2021-11-06 13:46:39,-27.0071,30.8132,83.75,38,50,7.43
134,Nikolskoye,RU,2021-11-06 13:48:44,59.7035,30.7861,43.88,83,46,7.31
135,Avera,US,2021-11-06 13:48:44,33.194,-82.5271,45.72,58,100,13.35
136,Alyangula,AU,2021-11-06 13:48:45,-13.8483,136.4192,80.47,83,6,4.61
137,Flinders,AU,2021-11-06 13:48:45,-34.5833,150.8552,67.21,86,78,1.01
138,Weligama,LK,2021-11-06 13:48:45,5.9667,80.4167,77.95,88,98,11.77
139,Sur,OM,2021-11-06 13:49:45,22.5667,59.5289,79.66,47,1,5.28
140,Dewas,IN,2021-11-06 13:49:46,22.9667,76.0667,75.38,38,87,6.04
141,Covington,US,2021-11-06 13:49:31,39.0837,-84.5086,41.58,84,1,0.0
142,Saint-Philippe,RE,2021-11-06 13:49:46,-21.3585,55.7679,80.19,78,46,9.69
143,Dingle,PH,2021-11-06 13:49:47,10.9995,122.6711,77.36,90,100,5.57
144,Russell,US,2021-11-06 13:49:47,32.3502,-85.1999,47.97,69,75,4.61
145,Prince Rupert,CA,2021-11-06 13:49:48,54.3161,-130.3201,40.69,87,100,17.27
