City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Orlik,RU,52.5178,99.825,14.23,77,66,1.81,broken clouds
191,Rio Grande,BR,-32.035,-52.0986,59.95,72,94,8.21,overcast clouds
192,Deputatskiy,RU,69.3,139.9,-13.63,97,88,5.53,overcast clouds
193,Gobabis,NA,-22.45,18.9667,71.38,15,100,9.22,overcast clouds
194,Vardo,NO,70.3705,31.1107,33.71,62,100,13.11,light rain
195,Zhovtneve,UA,50.6637,24.2492,36.41,88,2,7.81,clear sky
196,Sjenica,RS,43.2731,19.9994,49.91,86,100,6.35,overcast clouds
197,Peniche,PT,39.3558,-9.3811,52.61,77,1,13.58,clear sky
198,Qaanaaq,GL,77.484,-69.3632,5.85,74,94,7.23,overcast clouds
199,Haines Junction,CA,60.7522,-137.5108,26.55,93,100,3.44,overcast clouds
200,Cayenne,GF,4.9333,-52.3333,81.09,87,0,4.0,light rain
201,Simao,CN,22.7886,100.9748,73.71,58,9,1.74,clear sky
202,Cody,US,44.5263,-109.0565,48.42,50,1,14.97,clear sky
203,Severo-Kurilsk,RU,50.6789,156.125,39.49,71,68,10.92,broken clouds
204,Hermanus,ZA,-34.4187,19.2345,56.89,79,71,6.13,broken clouds
205,Lucapa,AO,-8.4192,20.7447,63.99,96,100,0.34,overcast clouds
206,Nanortalik,GL,60.1432,-45.2371,31.26,71,97,12.64,overcast clouds
207,Manzanillo,CU,20.3433,-77.1167,75.34,86,97,3.47,overcast clouds
208,Constitucion,CL,-35.3333,-72.4167,50.14,92,36,8.9,scattered clouds
209,Esperance,AU,-33.8667,121.9,64.24,58,45,9.04,scattered clouds
210,Ilhabela,BR,-23.7781,-45.3581,68.77,85,74,4.88,broken clouds
211,Omboue,GA,-1.5746,9.2618,77.09,90,100,5.01,overcast clouds
212,Bara,NG,10.3744,10.7288,75.16,35,100,2.73,overcast clouds
213,Timbo,BR,-26.8233,-49.2717,70.57,93,100,1.79,overcast clouds
214,Ayagoz,KZ,47.9714,80.4392,10.74,77,11,4.05,few clouds
215,Talnakh,RU,69.4865,88.3972,20.23,92,100,19.28,light snow
216,Albany,US,42.6001,-73.9662,35.31,83,0,2.1,clear sky
217,Bilma,NE,18.6853,12.9164,75.99,15,100,5.97,overcast clouds
218,Ndende,GA,-2.4008,11.3581,72.7,99,100,1.28,overcast clouds
219,Sao Filipe,CV,14.8961,-24.4956,78.84,71,85,9.06,overcast clouds
220,Lukiv,UA,51.0521,25.4006,35.19,85,4,8.99,clear sky
221,Makokou,GA,0.5738,12.8642,69.19,99,100,1.83,light rain
222,Andenes,NO,69.3143,16.1194,37.38,70,100,17.27,overcast clouds
223,Muisne,EC,0.6,-80.0333,74.89,86,100,9.75,light rain
224,Dinhata,IN,26.1333,89.4667,72.97,68,6,6.69,clear sky
225,Salasu De Sus,RO,45.5167,22.95,52.38,93,100,2.21,overcast clouds
226,Tsiroanomandidy,MG,-18.7667,46.0333,73.67,49,94,1.52,overcast clouds
227,Kuching,MY,1.55,110.3333,77.22,94,40,5.75,heavy intensity rain
228,Basse,DE,52.5518,9.5069,51.26,85,75,14.97,broken clouds
229,Punta Alta,AR,-38.8759,-62.0736,57.4,45,99,2.59,overcast clouds
230,Pullman,US,46.7313,-117.1796,40.84,83,1,13.0,clear sky
231,Hambantota,LK,6.1241,81.1185,82.74,89,20,6.91,few clouds
232,Geraldton,AU,-28.7667,114.6,70.21,49,0,17.27,clear sky
233,Poso,ID,-1.3959,120.7524,86.63,67,35,4.68,scattered clouds
234,Kokopo,PG,-4.352,152.2633,86.58,60,17,6.06,few clouds
235,Samarai,PG,-10.6167,150.6667,85.64,66,6,14.81,clear sky
236,Roblin,CA,51.23,-101.3565,40.55,56,11,8.72,few clouds
237,Port Blair,IN,11.6667,92.75,84.45,69,70,9.75,broken clouds
238,Vestmanna,FO,62.1564,-7.1664,45.52,87,75,12.66,broken clouds
239,Unguia,CO,8.0434,-77.0945,74.66,98,100,2.17,light rain
240,Yar-Sale,RU,66.8333,70.8333,34.68,97,100,16.46,overcast clouds
241,Nizhniy Tsasuchey,RU,50.5167,115.1333,24.26,29,44,11.05,scattered clouds
242,Bukama,CD,-9.2,25.85,69.26,82,92,2.08,overcast clouds
243,Jining,CN,35.405,116.5814,31.3,95,100,26.51,snow
244,Ilieni,RO,45.8,25.7667,56.57,76,86,2.68,overcast clouds
245,Wattegama,LK,6.7989,81.4808,74.25,93,100,3.96,overcast clouds
246,Kandiari,PK,26.9156,68.5216,78.58,22,0,3.15,clear sky
247,Idrinskoye,RU,54.3708,92.1358,21.27,89,97,4.18,overcast clouds
248,Tall Kayf,TR,37.0833,41.0667,66.54,42,0,5.79,clear sky
249,Salalah,OM,17.0151,54.0924,73.49,64,0,3.44,clear sky
250,Kattivakkam,IN,13.2167,80.3167,77.09,95,100,17.65,overcast clouds
251,Hoquiam,US,46.9809,-123.8893,46.92,50,100,4.0,overcast clouds
252,Westport,US,41.1415,-73.3579,46.54,75,1,1.1,clear sky
253,Vao,NC,-22.6667,167.4833,69.76,60,20,8.95,few clouds
254,Te Anau,NZ,-45.4167,167.7167,68.58,37,98,5.55,overcast clouds
255,Vega De Alatorre,MX,20.0333,-96.6333,72.57,84,61,4.61,broken clouds
256,Zaozerne,UA,45.1582,33.2787,53.94,70,100,11.74,overcast clouds
257,Nabire,ID,-3.3667,135.4833,85.87,65,89,5.32,overcast clouds
258,Vredendal,ZA,-31.6683,18.5012,56.08,68,100,4.92,overcast clouds
259,Calvinia,ZA,-31.4707,19.776,50.59,69,100,2.73,overcast clouds
260,Vad,RU,55.5301,44.2114,40.05,90,100,15.86,moderate rain
261,Azanka,RU,58.0401,64.7893,35.71,59,100,14.92,overcast clouds
